date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-30,33,23,0.0,11.6,7,7,33,10:27 AM,10:46 PM,06:43 AM,06:28 PM,21,31,31,28,9,5,69,0.0,1012,33,10,239,7
2020-01-31,33,24,0.0,11.6,7,7,37,11:05 AM,11:30 PM,06:43 AM,06:28 PM,20,30,30,28,11,4,66,0.0,1010,33,10,221,8
2020-02-01,35,24,0.0,11.6,7,7,49,11:44 AM,No moonset,06:43 AM,06:28 PM,20,30,30,28,12,15,65,0.1,1011,35,10,253,9
2020-02-02,33,23,0.0,11.6,7,7,57,12:23 PM,12:15 AM,06:43 AM,06:29 PM,20,29,29,27,13,21,67,0.1,1012,33,10,250,9
2020-02-03,34,23,0.0,11.6,7,7,64,01:07 PM,01:02 AM,06:43 AM,06:29 PM,20,29,29,27,12,9,65,0.0,1012,34,10,227,9
2020-02-04,34,24,0.0,11.6,7,7,72,01:54 PM,01:52 AM,06:42 AM,06:29 PM,21,30,30,28,12,13,69,0.0,1011,34,10,223,9
2020-02-05,33,24,0.0,11.6,7,7,79,02:45 PM,02:45 AM,06:42 AM,06:30 PM,21,30,30,27,11,33,71,0.5,1012,33,10,224,8
2020-02-06,33,23,0.0,11.6,7,7,87,03:41 PM,03:42 AM,06:42 AM,06:30 PM,21,30,30,27,9,41,71,1.2,1012,33,10,213,7
2020-02-07,32,23,0.0,10.2,6,6,95,04:41 PM,04:40 AM,06:42 AM,06:30 PM,21,30,30,27,9,43,73,1.2,1013,32,10,243,7
2020-02-08,33,22,0.0,10.2,7,7,100,05:43 PM,05:40 AM,06:42 AM,06:30 PM,21,29,29,27,10,46,73,1.2,1013,33,10,250,7
2020-02-09,33,23,0.0,10.2,6,6,100,06:44 PM,06:37 AM,06:42 AM,06:31 PM,22,30,30,27,12,46,74,3.8,1012,33,10,254,8
2020-02-10,36,23,0.0,11.6,7,7,83,07:45 PM,07:33 AM,06:42 AM,06:31 PM,21,31,31,28,11,6,68,0.0,1012,36,10,230,8
2020-02-11,35,23,0.0,11.6,8,8,75,08:43 PM,08:25 AM,06:41 AM,06:31 PM,21,32,32,29,8,2,62,0.0,1011,35,10,244,6
2020-02-12,35,24,0.0,11.6,8,8,68,09:39 PM,09:15 AM,06:41 AM,06:31 PM,21,32,32,29,8,18,66,0.1,1012,35,10,242,6
2020-02-13,34,24,0.0,11.6,7,7,60,10:34 PM,10:03 AM,06:41 AM,06:31 PM,22,31,31,28,12,31,70,0.3,1013,34,10,225,8
2020-02-14,33,24,0.0,11.6,7,7,53,11:30 PM,10:51 AM,06:41 AM,06:32 PM,21,30,30,28,11,7,70,0.0,1012,33,10,208,9
2020-02-15,33,24,0.0,11.6,7,7,45,No moonrise,11:39 AM,06:41 AM,06:32 PM,22,31,31,28,11,27,72,0.3,1011,33,10,239,8
2020-02-16,37,24,0.0,11.6,8,8,38,12:24 AM,12:28 PM,06:40 AM,06:32 PM,22,31,31,28,12,26,70,0.2,1012,37,10,236,9
2020-02-17,38,24,0.0,11.6,8,8,30,01:20 AM,01:19 PM,06:40 AM,06:32 PM,21,32,32,29,11,0,64,0.0,1012,38,10,226,9
2020-02-18,35,23,0.0,11.6,7,7,22,02:15 AM,02:11 PM,06:40 AM,06:32 PM,21,31,31,28,11,0,66,0.0,1012,35,10,227,9
2020-02-19,35,23,0.0,11.6,7,7,15,03:10 AM,03:05 PM,06:39 AM,06:32 PM,20,30,30,28,10,3,64,0.0,1012,35,10,234,8
2020-02-20,36,23,0.0,11.6,7,7,7,04:03 AM,03:58 PM,06:39 AM,06:32 PM,20,30,30,28,12,2,66,0.0,1011,36,10,232,9
2020-02-21,35,23,0.0,11.6,8,8,0,04:54 AM,04:50 PM,06:39 AM,06:33 PM,21,32,32,29,9,12,65,0.0,1012,35,10,252,6
2020-02-22,35,24,0.0,11.6,8,8,0,05:41 AM,05:40 PM,06:38 AM,06:33 PM,22,33,33,29,7,22,68,0.0,1013,35,10,249,5
2020-02-23,36,24,0.0,11.6,8,8,0,06:26 AM,06:28 PM,06:38 AM,06:33 PM,22,34,34,30,8,1,65,0.0,1012,36,10,215,6
2020-02-24,36,25,0.0,11.6,8,8,0,07:08 AM,07:14 PM,06:38 AM,06:33 PM,23,32,32,29,11,2,71,0.0,1011,36,10,235,9
2020-02-25,34,24,0.0,11.6,7,7,8,07:47 AM,07:59 PM,06:37 AM,06:33 PM,21,31,31,28,11,2,67,0.0,1010,34,10,244,9
2020-02-26,33,24,0.0,11.6,7,7,15,08:25 AM,08:42 PM,06:37 AM,06:33 PM,21,31,31,28,10,1,67,0.0,1010,33,10,239,8
2020-02-27,35,25,0.0,11.6,7,7,23,09:03 AM,09:26 PM,06:37 AM,06:33 PM,22,31,31,28,10,3,69,0.0,1010,35,10,231,8
2020-02-28,35,24,0.0,11.6,7,7,30,09:41 AM,10:10 PM,06:36 AM,06:33 PM,21,31,31,28,12,27,69,0.5,1009,35,10,252,9
2020-02-29,33,23,0.0,11.6,7,7,38,10:20 AM,10:56 PM,06:36 AM,06:33 PM,20,29,29,27,11,37,65,2.2,1010,33,10,217,8
2020-03-01,34,24,0.0,11.6,7,7,44,11:01 AM,11:44 PM,06:35 AM,06:33 PM,21,31,31,28,11,15,67,0.0,1010,34,10,237,8
2020-03-02,32,24,0.0,11.6,7,7,51,11:46 AM,No moonset,06:35 AM,06:33 PM,21,30,30,28,11,26,67,0.0,1011,32,10,252,8
2020-03-03,32,24,0.0,8.8,6,6,58,12:34 PM,12:34 AM,06:35 AM,06:33 PM,23,31,31,28,11,61,75,4.2,1011,32,10,270,8
2020-03-04,33,24,0.0,6.0,6,6,65,01:26 PM,01:28 AM,06:34 AM,06:33 PM,23,31,31,28,17,77,76,7.4,1010,33,9,292,11
2020-03-05,31,25,0.0,6.0,6,6,73,02:22 PM,02:23 AM,06:34 AM,06:33 PM,23,31,31,27,15,78,78,21.4,1010,31,9,303,8
2020-03-06,33,25,0.0,10.2,7,7,80,03:22 PM,03:21 AM,06:33 AM,06:33 PM,22,31,31,28,11,39,72,0.5,1010,33,10,271,8
2020-03-07,32,25,0.0,10.2,7,7,87,04:23 PM,04:18 AM,06:33 AM,06:33 PM,22,32,32,28,8,26,70,0.5,1011,32,10,227,7
2020-03-08,33,24,0.0,11.6,7,7,95,05:24 PM,05:15 AM,06:32 AM,06:33 PM,22,31,31,28,8,40,68,0.0,1011,33,10,210,6
2020-03-09,33,26,0.0,6.0,6,6,100,06:24 PM,06:09 AM,06:32 AM,06:33 PM,23,32,32,29,8,76,72,1.4,1010,33,10,248,6
2020-03-10,35,25,0.0,11.6,8,8,100,07:23 PM,07:01 AM,06:31 AM,06:33 PM,23,33,33,29,9,24,72,1.1,1010,35,10,212,7
2020-03-11,36,25,0.0,10.2,7,7,84,08:20 PM,07:51 AM,06:31 AM,06:33 PM,22,32,32,29,9,42,70,0.4,1011,36,10,219,7
2020-03-12,35,25,0.0,8.8,7,7,76,09:18 PM,08:40 AM,06:30 AM,06:33 PM,23,33,33,29,9,51,71,1.6,1012,35,10,200,7
2020-03-13,36,25,0.0,11.6,8,8,69,10:14 PM,09:31 AM,06:30 AM,06:33 PM,22,32,32,29,11,6,65,0.0,1011,36,10,221,8
2020-03-14,35,26,0.0,11.6,8,8,62,11:12 PM,10:21 AM,06:29 AM,06:33 PM,22,33,33,30,10,4,66,0.0,1010,35,10,219,8
2020-03-15,34,25,0.0,11.6,8,8,55,No moonrise,11:14 AM,06:29 AM,06:33 PM,22,32,32,29,11,9,69,0.0,1010,34,10,212,9
2020-03-16,35,25,0.0,11.6,8,8,47,12:09 AM,12:07 PM,06:28 AM,06:33 PM,22,33,33,29,10,7,65,0.0,1011,35,10,235,8
2020-03-17,35,27,0.0,11.6,8,8,40,01:06 AM,01:01 PM,06:28 AM,06:33 PM,23,35,35,31,9,6,64,0.0,1012,35,10,237,7
2020-03-18,35,27,0.0,11.6,8,8,33,02:00 AM,01:54 PM,06:27 AM,06:33 PM,23,34,34,30,12,9,66,0.0,1011,35,10,233,9
2020-03-19,34,25,0.0,11.6,8,8,25,02:51 AM,02:46 PM,06:27 AM,06:33 PM,23,33,33,29,12,28,68,0.1,1011,34,10,236,9
2020-03-20,34,26,0.0,11.6,7,7,18,03:40 AM,03:37 PM,06:26 AM,06:33 PM,23,34,34,29,10,52,72,7.5,1011,34,10,258,8
2020-03-21,35,26,0.0,6.0,7,7,11,04:25 AM,04:25 PM,06:26 AM,06:33 PM,24,33,33,29,10,79,74,14.2,1011,35,9,240,7
2020-03-22,33,26,0.0,10.2,6,6,4,05:07 AM,05:12 PM,06:25 AM,06:33 PM,24,33,33,29,8,50,76,6.7,1011,33,9,252,6
2020-03-23,33,26,0.0,6.0,6,6,0,05:47 AM,05:57 PM,06:24 AM,06:33 PM,24,33,33,29,10,75,77,10.8,1010,33,9,215,7
2020-03-24,33,25,0.0,8.8,6,6,0,06:25 AM,06:40 PM,06:24 AM,06:32 PM,24,33,33,29,10,58,76,4.5,1009,33,10,217,7
2020-03-25,33,26,0.0,11.6,6,6,3,07:03 AM,07:24 PM,06:23 AM,06:32 PM,23,33,33,29,8,63,72,2.1,1009,33,10,259,7
2020-03-26,33,25,0.0,11.6,7,7,11,07:41 AM,08:08 PM,06:23 AM,06:32 PM,22,32,32,29,9,13,68,0.0,1009,33,10,215,7
2020-03-27,34,27,0.0,11.6,8,8,18,08:19 AM,08:53 PM,06:22 AM,06:32 PM,22,33,33,29,9,10,66,0.0,1011,34,10,224,7
2020-03-28,34,26,0.0,11.6,8,8,25,09:00 AM,09:40 PM,06:22 AM,06:32 PM,22,33,33,29,9,15,67,0.0,1010,34,10,234,7
2020-03-29,34,25,0.0,11.6,8,8,32,09:43 AM,10:29 PM,06:21 AM,06:32 PM,23,33,33,29,9,33,69,0.0,1010,34,10,236,7
2020-03-30,35,25,0.0,11.6,8,8,40,10:28 AM,11:21 PM,06:21 AM,06:32 PM,23,33,33,29,10,36,69,0.2,1010,35,10,232,8
2020-03-31,34,25,0.0,10.2,7,7,44,11:18 AM,No moonset,06:20 AM,06:32 PM,24,34,34,30,10,36,69,0.4,1010,34,10,227,8
2020-04-01,35,26,0.0,11.6,8,8,56,12:11 PM,12:14 AM,06:20 AM,06:32 PM,23,35,35,30,10,13,68,0.1,1010,35,10,211,8
2020-04-02,33,26,0.0,11.6,8,8,64,01:08 PM,01:09 AM,06:19 AM,06:32 PM,23,34,34,30,9,11,67,0.0,1009,33,10,226,7
2020-04-03,33,25,0.0,11.6,8,8,71,02:06 PM,02:05 AM,06:19 AM,06:32 PM,22,32,32,29,10,24,67,0.0,1010,33,10,216,8
2020-04-04,34,25,0.0,11.6,8,8,79,03:06 PM,03:00 AM,06:18 AM,06:32 PM,23,33,33,29,10,22,68,0.0,1011,34,10,243,7
2020-04-05,33,26,0.0,8.8,7,7,87,04:05 PM,03:54 AM,06:18 AM,06:32 PM,23,34,34,29,9,54,70,5.1,1011,33,10,238,7
2020-04-06,33,26,0.0,8.8,7,7,94,05:03 PM,04:45 AM,06:17 AM,06:32 PM,24,34,34,29,8,65,74,6.3,1011,33,9,240,6
2020-04-07,32,26,0.0,7.5,6,6,100,06:01 PM,05:36 AM,06:17 AM,06:32 PM,24,33,33,29,13,55,75,5.2,1011,32,10,288,9
2020-04-08,32,26,0.0,6.1,6,6,100,06:59 PM,06:25 AM,06:16 AM,06:32 PM,24,33,33,29,18,82,76,7.2,1011,32,9,282,12
2020-04-09,33,27,0.0,8.8,6,6,83,07:57 PM,07:16 AM,06:16 AM,06:32 PM,25,34,34,29,17,62,77,15.2,1010,33,9,281,12
2020-04-10,34,26,0.0,8.8,7,7,76,08:57 PM,08:08 AM,06:15 AM,06:32 PM,24,34,34,29,11,61,72,1.1,1010,34,10,192,8
2020-04-11,34,26,0.0,10.2,7,7,68,09:56 PM,09:01 AM,06:15 AM,06:31 PM,23,34,34,30,10,48,69,1.1,1011,34,10,223,8
2020-04-12,33,26,0.0,6.1,7,7,61,10:55 PM,09:56 AM,06:14 AM,06:31 PM,23,34,34,30,9,52,69,1.5,1011,33,10,245,7
2020-04-13,34,27,0.0,10.2,7,7,53,11:53 PM,10:52 AM,06:14 AM,06:31 PM,23,34,34,30,9,42,70,0.4,1010,34,10,251,7
2020-04-14,34,27,0.0,10.2,7,7,46,No moonrise,11:48 AM,06:13 AM,06:31 PM,23,35,35,30,9,48,69,0.3,1010,34,10,232,7
2020-04-15,33,27,0.0,11.6,8,8,38,12:47 AM,12:41 PM,06:13 AM,06:31 PM,23,34,34,30,9,45,68,0.3,1011,33,10,245,7
2020-04-16,32,27,0.0,7.5,7,7,30,01:37 AM,01:34 PM,06:12 AM,06:31 PM,24,34,34,30,9,63,72,2.3,1010,32,10,244,7
2020-04-17,35,26,0.0,10.2,7,7,23,02:23 AM,02:23 PM,06:12 AM,06:31 PM,24,35,35,30,9,46,70,0.4,1009,35,10,228,7
2020-04-18,35,27,0.0,8.9,7,7,15,03:07 AM,03:10 PM,06:11 AM,06:31 PM,24,35,35,30,8,55,69,0.8,1010,35,10,212,6
2020-04-19,33,27,0.0,7.5,7,7,8,03:47 AM,03:55 PM,06:11 AM,06:31 PM,24,35,35,30,8,65,72,2.0,1009,33,10,215,6
2020-04-20,33,27,0.0,10.2,7,7,0,04:26 AM,04:39 PM,06:10 AM,06:31 PM,24,36,36,30,11,26,72,6.1,1009,33,10,214,7
2020-04-21,35,27,0.0,11.6,7,7,0,05:03 AM,05:23 PM,06:10 AM,06:31 PM,24,35,35,30,11,35,71,0.4,1009,35,10,270,8
